#,Company,Symbol,Weight,Price,Chg,% Chg
292,Microchip Technology,MCHP,0.05%,55.43,0.02,(0.03%)
293,Verisk Analytics,VRSK,0.05%,212.94,0.0,(0.00%)
294,Mettler Toledo,MTD,0.05%,1432.57,0.0,(0.00%)
295,"EMCOR Group, Inc.",EME,0.05%,656.33,0.0,(0.00%)
296,Tractor Supply,TSCO,0.05%,55.46,0.0,(0.00%)
297,First Solar,FSLR,0.05%,271.5,-1.14,(-0.42%)
298,Kellanova,K,0.05%,83.3,-0.02,(-0.02%)
299,M&T Bank,MTB,0.05%,188.25,0.0,(0.00%)
300,DTE Energy,DTE,0.05%,139.13,0.0,(0.00%)
301,Kraft Heinz,KHC,0.05%,24.41,0.03,(0.10%)
302,Old Dominion,ODFL,0.05%,137.93,0.17,(0.12%)
303,Humana,HUM,0.05%,239.7,1.28,(0.53%)
304,W. R. Berkley Corporation,WRB,0.05%,75.84,0.0,(0.00%)
305,Teradyne,TER,0.05%,182.76,-1.32,(-0.72%)
306,Atmos Energy,ATO,0.05%,177.76,0.0,(0.00%)
307,Fifth Third Bancorp,FITB,0.05%,43.16,0.03,(0.07%)
308,CoStar Group,CSGP,0.05%,67.23,0.0,(0.00%)
309,Ameren,AEE,0.05%,103.77,-0.57,(-0.55%)
310,"Rollins, Inc.",ROL,0.05%,57.6,-0.96,(-1.65%)
311,Extra Space Storage,EXR,0.05%,130.5,0.0,(0.00%)
312,Eversource Energy,ES,0.04%,73.12,0.61,(0.84%)
313,Expand Energy,EXE,0.04%,114.83,0.0,(0.00%)
314,PPL Corporation,PPL,0.04%,36.84,0.0,(0.00%)
315,Charter Communications,CHTR,0.04%,210.1,-0.35,(-0.17%)
316,Cboe Global Markets,CBOE,0.04%,259.14,0.0,(0.00%)
317,Synchrony Financial,SYF,0.04%,74.7,0.0,(0.00%)
318,Archer Daniels Midland,ADM,0.04%,55.9,-0.1,(-0.19%)
319,Brown & Brown,BRO,0.04%,78.5,-0.01,(-0.01%)
320,FirstEnergy,FE,0.04%,46.13,0.0,(0.00%)
321,Broadridge Financial Solutions,BR,0.04%,223.16,-0.0,(-0.00%)
322,Cincinnati Financial,CINF,0.04%,166.4,0.0,(0.00%)
323,Steris,STE,0.04%,264.01,0.0,(0.00%)
324,CenterPoint Energy,CNP,0.04%,39.47,-0.01,(-0.02%)
325,Equifax,EFX,0.04%,208.86,0.03,(0.02%)
326,American Water Works,AWK,0.04%,129.1,0.16,(0.12%)
327,Leidos,LDOS,0.04%,196.7,-0.17,(-0.09%)
328,AvalonBay Communities,AVB,0.04%,176.75,0.0,(0.00%)
329,Dover Corporation,DOV,0.04%,182.09,0.0,(0.00%)
330,Huntington Bancshares,HBAN,0.04%,15.85,0.04,(0.26%)
331,General Mills,GIS,0.04%,46.2,-0.02,(-0.04%)
332,Northern Trust,NTRS,0.04%,130.09,0.0,(0.00%)
333,Hubbell Incorporated,HUBB,0.04%,462.28,-0.0,(-0.00%)
334,Teledyne Technologies,TDY,0.04%,520.19,0.04,(0.01%)
335,Veralto,VLTO,0.04%,98.26,0.0,(0.00%)
336,Supermicro,SMCI,0.04%,40.08,-0.11,(-0.27%)
337,Williams-Sonoma,WSM,0.04%,194.65,0.0,(0.00%)
338,HP Inc.,HPQ,0.04%,25.1,-0.2,(-0.77%)
339,PulteGroup,PHM,0.04%,120.17,0.0,(0.00%)
340,Halliburton,HAL,0.04%,27.82,0.11,(0.40%)
341,Jabil,JBL,0.04%,218.91,-0.35,(-0.16%)
342,Ulta Beauty,ULTA,0.04%,517.07,0.51,(0.10%)
343,Biogen,BIIB,0.04%,155.51,-0.75,(-0.48%)
344,Texas Pacific Land Corporation,TPL,0.04%,991.07,-2.79,(-0.28%)
345,Verisign,VRSN,0.04%,245.63,-2.03,(-0.82%)
346,NetApp,NTAP,0.04%,113.54,1.04,(0.92%)
347,Equity Residential,EQR,0.04%,59.51,0.0,(0.00%)
348,Insulet Corporation,PODD,0.04%,320.75,0.4,(0.12%)
349,CMS Energy,CMS,0.04%,74.06,0.0,(0.00%)
350,Constellation Brands,STZ,0.04%,128.68,0.21,(0.16%)
351,Citizens Financial Group,CFG,0.04%,52.35,0.0,(0.00%)
352,T. Rowe Price,TROW,0.04%,103.0,0.0,(0.00%)
353,Waters Corporation,WAT,0.04%,376.51,-0.06,(-0.02%)
354,Steel Dynamics,STLD,0.04%,152.63,0.19,(0.13%)
355,Edison International,EIX,0.04%,57.5,0.16,(0.28%)
356,Dollar General,DG,0.04%,100.14,-0.27,(-0.26%)
357,Regions Financial Corporation,RF,0.04%,25.07,0.03,(0.14%)
358,LabCorp,LH,0.04%,264.93,3.8,(1.46%)
359,"Tapestry, Inc.",TPR,0.04%,106.21,0.13,(0.12%)
360,Dollar Tree,DLTR,0.04%,106.29,0.0,(0.00%)
361,PPG Industries,PPG,0.04%,95.88,-0.05,(-0.06%)
362,Dexcom,DXCM,0.03%,55.05,0.2,(0.37%)
363,Devon Energy,DVN,0.03%,34.04,0.12,(0.35%)
364,Loews Corporation,L,0.03%,103.04,0.02,(0.01%)
365,PTC Inc.,PTC,0.03%,177.44,-0.05,(-0.03%)
366,SBA Communications,SBAC,0.03%,199.42,-0.0,(-0.00%)
367,"The Trade Desk, Inc.",TTD,0.03%,43.08,-0.18,(-0.42%)
368,Incyte,INCY,0.03%,105.93,-0.06,(-0.05%)
369,Qnity Electronics,Q,0.03%,98.07,1.47,(1.52%)
370,Quest Diagnostics,DGX,0.03%,184.12,-0.19,(-0.10%)
371,NiSource,NI,0.03%,43.14,-0.58,(-1.33%)
372,Church & Dwight,CHD,0.03%,84.64,0.0,(0.00%)
373,Ralph Lauren Corporation,RL,0.03%,334.49,-0.22,(-0.07%)
374,Darden Restaurants,DRI,0.03%,173.59,0.0,(0.00%)
375,Lululemon Athletica,LULU,0.03%,169.59,-0.76,(-0.45%)
376,"NVR, Inc.",NVR,0.03%,7336.81,0.0,(0.00%)
377,Coterra,CTRA,0.03%,26.33,-0.06,(-0.22%)
378,International Paper,IP,0.03%,37.94,0.01,(0.03%)
379,Tyler Technologies,TYL,0.03%,464.48,0.0,(0.00%)
380,ON Semiconductor,ON,0.03%,48.63,0.09,(0.18%)
381,Corpay,CPAY,0.03%,281.08,0.0,(0.00%)
382,West Pharmaceutical Services,WST,0.03%,275.47,0.0,(0.00%)
383,KeyCorp,KEY,0.03%,18.11,-0.02,(-0.08%)
384,Amcor,AMCR,0.03%,8.43,-0.0,(-0.06%)
385,Tyson Foods,TSN,0.03%,53.88,-0.02,(-0.04%)
386,Trimble Inc.,TRMB,0.03%,79.7,0.0,(0.00%)
387,Expeditors International,EXPD,0.03%,140.68,0.24,(0.17%)
388,CDW,CDW,0.03%,143.31,0.0,(0.00%)
389,Smurfit WestRock,SW,0.03%,35.5,-0.0,(-0.01%)
390,Jacobs Solutions,J,0.03%,154.3,0.02,(0.01%)
391,Bunge Global,BG,0.03%,95.08,0.01,(0.01%)
392,Principal Financial Group,PFG,0.03%,83.58,0.0,(0.00%)
393,Packaging Corporation of America,PKG,0.03%,200.72,0.0,(0.00%)
394,Global Payments,GPN,0.03%,75.83,0.14,(0.18%)
395,C.H. Robinson,CHRW,0.03%,151.72,0.0,(0.00%)
396,Snap-on,SNA,0.03%,343.18,0.0,(0.00%)
397,Aptiv,APTV,0.03%,82.56,0.0,(0.00%)
398,Pentair,PNR,0.03%,108.69,0.0,(0.00%)
